ID,Label,Condition,Sequencing_center,Flowcell,Lane
EU306_S2_mRNA,EU306,Salmonella,CHUSJ,run181,1
EU34_L2_mRNA,EU34,Listeria,IC,run782,5
EU34_NI2_mRNA,EU34,Non-infected,IC,run782,5
EU34_S2_mRNA,EU34,Salmonella,IC,run782,5
EU36_L2_mRNA,EU36,Listeria,IC,run786,6
EU36_NI2_mRNA,EU36,Non-infected,IC,run786,6
EU36_S2_mRNA,EU36,Salmonella,IC,run786,6
EU40_L2_mRNA,EU40,Listeria,IC,run786,3
EU40_S2_mRNA,EU40,Salmonella,IC,run786,3
EU40_NI2_mRNA_rep,EU40,Non-infected,CHUSJ,run266,7
EU42_L2_mRNA,EU42,Listeria,IC,run782,3
EU42_NI2_mRNA,EU42,Non-infected,IC,run782,3
EU42_S2_mRNA,EU42,Salmonella,IC,run782,3
EU46_L2_mRNA,EU46,Listeria,IC,run782,6
EU46_NI2_mRNA,EU46,Non-infected,IC,run782,6
EU46_S2_mRNA,EU46,Salmonella,IC,run782,6
EU48_L2_mRNA,EU48,Listeria,IC,run782,4
EU48_NI2_mRNA,EU48,Non-infected,IC,run782,4
EU48_S2_mRNA,EU48,Salmonella,IC,run782,4
EU50_L2_mRNA,EU50,Listeria,IC,run786,8
EU50_NI2_mRNA,EU50,Non-infected,IC,run786,8
EU50_S2_mRNA,EU50,Salmonella,IC,run786,8
EU52_L2_mRNA,EU52,Listeria,IC,run782,8
EU52_NI2_mRNA,EU52,Non-infected,IC,run782,8
EU52_S2_mRNA,EU52,Salmonella,IC,run782,8
EU54_L2_mRNA,EU54,Listeria,IC,run782,7
EU54_NI2_mRNA,EU54,Non-infected,IC,run782,7
EU54_S2_mRNA,EU54,Salmonella,IC,run782,7
EU56_L2_mRNA,EU56,Listeria,IC,run786,7
EU56_NI2_mRNA,EU56,Non-infected,IC,run786,7
EU56_S2_mRNA_rep,EU56,Salmonella,CHUSJ,run266,7
EU58_L2_mRNA,EU58,Listeria,IC,run782,1
EU58_NI2_mRNA,EU58,Non-infected,IC,run782,1
EU58_S2_mRNA,EU58,Salmonella,IC,run782,1
EU60_L2_mRNA,EU60,Listeria,IC,run782,2
EU60_NI2_mRNA,EU60,Non-infected,IC,run782,2
EU60_S2_mRNA,EU60,Salmonella,IC,run782,2
EU62_L2_mRNA,EU62,Listeria,IC,run786,1
EU62_NI2_mRNA,EU62,Non-infected,IC,run786,1
EU62_S2_mRNA,EU62,Salmonella,IC,run786,1
EU64_L2_mRNA,EU64,Listeria,IC,run786,4
EU64_NI2_mRNA,EU64,Non-infected,IC,run786,4
EU64_S2_mRNA,EU64,Salmonella,IC,run786,4
EU66_L2_mRNA,EU66,Listeria,IC,run786,2
EU66_NI2_mRNA,EU66,Non-infected,IC,run786,2
EU66_S2_mRNA,EU66,Salmonella,IC,run786,2
EU68_L2_mRNA,EU68,Listeria,IC,run1104,3
EU68_NI2_mRNA,EU68,Non-infected,IC,run1104,3
EU68_S2_mRNA,EU68,Salmonella,IC,run1104,3
EU70_L2_mRNA,EU70,Listeria,IC,run1104,6
EU70_NI2_mRNA,EU70,Non-infected,IC,run1104,6
EU70_S2_mRNA,EU70,Salmonella,IC,run1104,6
EU72_L2_mRNA,EU72,Listeria,IC,run1104,5
EU72_NI2_mRNA,EU72,Non-infected,IC,run1104,5
EU72_S2_mRNA,EU72,Salmonella,IC,run1104,5
EU74_L2_mRNA,EU74,Listeria,IC,run1104,4
EU74_NI2_mRNA,EU74,Non-infected,IC,run1104,4
EU74_S2_mRNA,EU74,Salmonella,IC,run1104,4
EU76_L2_mRNA,EU76,Listeria,IC,run1144,1
EU76_NI2_mRNA,EU76,Non-infected,IC,run1144,1
EU76_S2_mRNA,EU76,Salmonella,IC,run1144,1
EU78_L2_mRNA,EU78,Listeria,IC,run1144,2
EU78_NI2_mRNA,EU78,Non-infected,IC,run1144,2
EU78_S2_mRNA,EU78,Salmonella,IC,run1144,2
EU80_L2_mRNA,EU80,Listeria,IC,run1144,3
EU80_NI2_mRNA,EU80,Non-infected,IC,run1144,3
EU80_S2_mRNA,EU80,Salmonella,IC,run1144,3
EU96_L2_mRNA,EU96,Listeria,CHUSJ,run152,1
EU96_NI2_mRNA,EU96,Non-infected,CHUSJ,run152,1
EU96_S2_mRNA,EU96,Salmonella,CHUSJ,run152,1
