sample_id(HipSci_cellline_id)	fastq1_file	fastq2_file
SAMEA104011286	ERR2278259/ERR2278259_1.fastq.gz	ERR2278259/ERR2278259_2.fastq.gz
SAMEA104011287	ERR2278300/ERR2278300_1.fastq.gz	ERR2278300/ERR2278300_2.fastq.gz
SAMEA104011287	ERR2278310/ERR2278310_1.fastq.gz	ERR2278310/ERR2278310_2.fastq.gz
SAMEA104011288	ERR2278301/ERR2278301_1.fastq.gz	ERR2278301/ERR2278301_2.fastq.gz
SAMEA104011288	ERR2278311/ERR2278311_1.fastq.gz	ERR2278311/ERR2278311_2.fastq.gz
SAMEA104011289	ERR2278253/ERR2278253_1.fastq.gz	ERR2278253/ERR2278253_2.fastq.gz
SAMEA104011289	ERR2278263/ERR2278263_1.fastq.gz	ERR2278263/ERR2278263_2.fastq.gz
SAMEA104011290	ERR2278264/ERR2278264_1.fastq.gz	ERR2278264/ERR2278264_2.fastq.gz
SAMEA104011290	ERR2278274/ERR2278274_1.fastq.gz	ERR2278274/ERR2278274_2.fastq.gz
SAMEA104026891	ERR2278302/ERR2278302_1.fastq.gz	ERR2278302/ERR2278302_2.fastq.gz
SAMEA104026891	ERR2278312/ERR2278312_1.fastq.gz	ERR2278312/ERR2278312_2.fastq.gz
SAMEA104026892	ERR2278303/ERR2278303_1.fastq.gz	ERR2278303/ERR2278303_2.fastq.gz
SAMEA104026892	ERR2278313/ERR2278313_1.fastq.gz	ERR2278313/ERR2278313_2.fastq.gz
SAMEA104130210	ERR2278306/ERR2278306_1.fastq.gz	ERR2278306/ERR2278306_2.fastq.gz
SAMEA104130210	ERR2278316/ERR2278316_1.fastq.gz	ERR2278316/ERR2278316_2.fastq.gz
SAMEA104130211	ERR2278305/ERR2278305_1.fastq.gz	ERR2278305/ERR2278305_2.fastq.gz
SAMEA104130211	ERR2278315/ERR2278315_1.fastq.gz	ERR2278315/ERR2278315_2.fastq.gz
SAMEA104130216	ERR2278284/ERR2278284_1.fastq.gz	ERR2278284/ERR2278284_2.fastq.gz
SAMEA104130216	ERR2278292/ERR2278292_1.fastq.gz	ERR2278292/ERR2278292_2.fastq.gz
SAMEA104132470	ERR2278321/ERR2278321_1.fastq.gz	ERR2278321/ERR2278321_2.fastq.gz
SAMEA104132470	ERR2278326/ERR2278326_1.fastq.gz	ERR2278326/ERR2278326_2.fastq.gz
SAMEA104132471	ERR2278322/ERR2278322_1.fastq.gz	ERR2278322/ERR2278322_2.fastq.gz
SAMEA104132471	ERR2278327/ERR2278327_1.fastq.gz	ERR2278327/ERR2278327_2.fastq.gz
SAMEA104132710	ERR2278320/ERR2278320_1.fastq.gz	ERR2278320/ERR2278320_2.fastq.gz
SAMEA104132710	ERR2278325/ERR2278325_1.fastq.gz	ERR2278325/ERR2278325_2.fastq.gz
SAMEA104237550	ERR2278308/ERR2278308_1.fastq.gz	ERR2278308/ERR2278308_2.fastq.gz
SAMEA104237550	ERR2278318/ERR2278318_1.fastq.gz	ERR2278318/ERR2278318_2.fastq.gz
SAMEA104237551	ERR2278309/ERR2278309_1.fastq.gz	ERR2278309/ERR2278309_2.fastq.gz
SAMEA104237551	ERR2278319/ERR2278319_1.fastq.gz	ERR2278319/ERR2278319_2.fastq.gz
SAMEA104237552	ERR2278323/ERR2278323_1.fastq.gz	ERR2278323/ERR2278323_2.fastq.gz
SAMEA104237552	ERR2278328/ERR2278328_1.fastq.gz	ERR2278328/ERR2278328_2.fastq.gz
SAMEA104241751	ERR2278330/ERR2278330_1.fastq.gz	ERR2278330/ERR2278330_2.fastq.gz
SAMEA104241751	ERR2278336/ERR2278336_1.fastq.gz	ERR2278336/ERR2278336_2.fastq.gz
SAMEA104241752	ERR2278324/ERR2278324_1.fastq.gz	ERR2278324/ERR2278324_2.fastq.gz
SAMEA104241752	ERR2278329/ERR2278329_1.fastq.gz	ERR2278329/ERR2278329_2.fastq.gz
SAMEA17511418	ERR2278307/ERR2278307_1.fastq.gz	ERR2278307/ERR2278307_2.fastq.gz
SAMEA17511418	ERR2278317/ERR2278317_1.fastq.gz	ERR2278317/ERR2278317_2.fastq.gz
SAMEA2398028	ERR1203462/ERR1203462_1.fastq.gz	ERR1203462/ERR1203462_2.fastq.gz
SAMEA2398028	ERR1243465/ERR1243465_1.fastq.gz	ERR1243465/ERR1243465_2.fastq.gz
SAMEA2398080	ERR1203459/ERR1203459_1.fastq.gz	ERR1203459/ERR1203459_2.fastq.gz
SAMEA2398080	ERR1243462/ERR1243462_1.fastq.gz	ERR1243462/ERR1243462_2.fastq.gz
SAMEA2398552	ERR1203457/ERR1203457_1.fastq.gz	ERR1203457/ERR1203457_2.fastq.gz
