[Header]
INVESTIGATOR NAME,BeadStudio User
PROJECT NAME,HipSci_proj
EXPERIMENT NAME,HipSci_proj
DATE,10/7/2018 1:19:05 PM
[Manifests]
A,HumanCoreExome-12-v1-1-C
[Data]
Sample_ID,SentrixBarcode_A,SentrixPosition_A,Path,Aux
HPSI0413i-peop_4,9465547066,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-sukz_1,9465547162,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-sukz_2,9439653064,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-sukz_3,9439653064,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-uahf_1,9426369048,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-uahf_2,9426369048,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-uahf_3,9426369048,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xekf_1,9421902079,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xekf_2,9421902079,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xekf_3,9421902079,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xisg_1,9465555044,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xisg_2,9465555044,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xisg_3,9465555044,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-xisg_33,9465555044,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-yotv_2,9465608129,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-yotv_3,9465608129,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-yuze_1,9421902079,R03C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-yuze_2,9421902079,R04C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-yuze_3,9421902079,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-zodd_1,9970499009,R01C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-zodd_2,9970499009,R03C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413i-zodd_3,9970499009,R02C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-bupo,9465604059,R05C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-corn,9969483145,R06C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-coxy,9465555131,R01C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-gomv,9426369048,R05C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-iakz,9465547068,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-nudd,9465608071,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-ougl,9465555071,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-peop,9465547066,R02C02,\\VBOXSVR\GenomeStudio\HipSci\idat,0
HPSI0413pf-sukz,9439653064,R04C01,\\VBOXSVR\GenomeStudio\HipSci\idat,0
