Study	BioSampleID	GenotypeID	Comment
HipSci	SAMEA3965164	HPSI0414i-oaqd_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3485962	HPSI0215i-oilg_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3962562	HPSI0614i-paab_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3969686	HPSI0214i-poih_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3962560	HPSI0514i-puie_5	excluded to avoid cell_line from same donor
HipSci	SAMEA3963884	HPSI1014i-qayj_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3974241	HPSI1213i-tolg_6	excluded to avoid cell_line from same donor
HipSci	SAMEA3965165	HPSI0414i-seru_7	excluded to avoid cell_line from same donor
HipSci	SAMEA3854215	HPSI0914i-kajh_3	excluded to avoid cell_line from same donor
HipSci	SAMEA4089454	HPSI0914i-zerv_8	excluded to avoid cell_line from same donor
HipSci	SAMEA2459968	HPSI1113i-oaaz_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2570426	HPSI0114i-zapk_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3754203	HPSI0115i-aion_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3853173	HPSI0115i-hecn_3	excluded to avoid cell_line from same donor
HipSci	SAMEA3973851	HPSI0715i-meue_5	excluded to avoid cell_line from same donor
HipSci	SAMEA3962381	HPSI0714i-keui_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3964256	HPSI0614i-lepk_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3962619	HPSI0514i-naah_4	excluded to avoid cell_line from same donor
HipSci	SAMEA4090531	HPSI0115i-qoog_6	excluded to avoid cell_line from same donor
HipSci	SAMEA4089842	HPSI0115i-vazt_2	excluded to avoid cell_line from same donor
HipSci	SAMEA4303613	HPSI0115i-iiyk_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3974247	HPSI0714i-kute_5	excluded to avoid cell_line from same donor
HipSci	SAMEA3967410	HPSI0514i-letw_5	excluded to avoid cell_line from same donor
HipSci	SAMEA3964906	HPSI1014i-nosn_6	excluded to avoid cell_line from same donor
HipSci	SAMEA3974015	HPSI0714i-nufh_4	excluded to avoid cell_line from same donor
HipSci	SAMEA3968772	HPSI0614i-oicx_6	excluded to avoid cell_line from same donor
HipSci	SAMEA3973852	HPSI1114i-ualf_6	excluded to avoid cell_line from same donor
HipSci	SAMEA4303617	HPSI1113i-wahn_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3973871	HPSI0715i-zaie_5	excluded to avoid cell_line from same donor
HipSci	SAMEA4446953	HPSI0414i-oikd_5	excluded to avoid cell_line from same donor
HipSci	SAMEA4446956	HPSI0514i-sohd_3	excluded to avoid cell_line from same donor
HipSci	SAMEA4343052	HPSI0914i-suop_5	excluded to avoid cell_line from same donor
HipSci	SAMEA4451109	HPSI0614i-uevq_4	excluded to avoid cell_line from same donor
HipSci	SAMEA4448539	HPSI0115i-paim_3	excluded to avoid cell_line from same donor
HipSci	SAMEA4339550	HPSI0614i-voce_2	excluded to avoid cell_line from same donor
HipSci	SAMEA4339703	HPSI0614i-wihj_4	excluded to avoid cell_line from same donor
HipSci	SAMEA4451657	HPSI0115i-aoxv_3	excluded to avoid cell_line from same donor
HipSci	SAMEA4448549	HPSI1114i-kuul_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3974502	HPSI0614i-puhk_5	excluded to avoid cell_line from same donor
HipSci	SAMEA4092051	HPSI0814i-siqu_11	excluded to avoid cell_line from same donor
HipSci	SAMEA4454944	HPSI0514i-tert_3	excluded to avoid cell_line from same donor
HipSci	SAMEA4085299	HPSI0614i-lirf_6	excluded to avoid cell_line from same donor
HipSci	SAMEA4451098	HPSI0514i-oupf_6	excluded to avoid cell_line from same donor
HipSci	SAMEA4458546	HPSI0614i-qunz_3	excluded to avoid cell_line from same donor
HipSci	SAMEA4564806	HPSI0514i-xayd_5	excluded to avoid cell_line from same donor
HipSci	SAMEA103884673	HPSI0115i-rakq_3	excluded to avoid cell_line from same donor
HipSci	SAMEA104011279	HPSI0115i-bimq_5	excluded to avoid cell_line from same donor
HipSci	SAMEA103887419	HPSI0115i-iuad_3	excluded to avoid cell_line from same donor
HipSci	SAMEA104011285	HPSI0115i-kozf_2	excluded to avoid cell_line from same donor
HipSci	SAMEA3853143	HPSI0714i-oatm_2	excluded to avoid cell_line from same donor
HipSci	SAMEA104011290	HPSI0115i-payf_2	excluded to avoid cell_line from same donor
HipSci	SAMEA103885513	HPSI0115i-rehy_3	excluded to avoid cell_line from same donor
HipSci	SAMEA104009794	HPSI0215i-romx_2	excluded to avoid cell_line from same donor
HipSci	SAMEA7417918	HPSI0115i-sehp_3	excluded to avoid cell_line from same donor
HipSci	SAMEA104011281	HPSI0514i-suul_2	excluded to avoid cell_line from same donor
HipSci	SAMEA104009786	HPSI0215i-uiao_2	excluded to avoid cell_line from same donor
HipSci	SAMEA104011288	HPSI1114i-xiby_5	excluded to avoid cell_line from same donor
HipSci	SAMEA104026892	HPSI0514i-xufp_2	excluded to avoid cell_line from same donor
HipSci	SAMEA104130210	HPSI1114i-zuuy_5	excluded to avoid cell_line from same donor
HipSci	SAMEA104237550	HPSI0115i-jotn_4	excluded to avoid cell_line from same donor
HipSci	SAMEA104132471	HPSI0115i-quze_6	excluded to avoid cell_line from same donor
HipSci	SAMEA104237552	HPSI0115i-tiku_3	excluded to avoid cell_line from same donor
HipSci	SAMEA104241751	HPSI0614i-xubw_1	excluded to avoid cell_line from same donor
HipSci	SAMEA103992842	HPSI0115i-qecv_2	excluded to avoid cell_line from same donor
HipSci	SAMEA103885510	HPSI0314i-uict_3	excluded to avoid cell_line from same donor
HipSci	SAMEA7417168	HPSI0714i-tosj_4	excluded to avoid cell_line from same donor
HipSci	SAMEA2627567	HPSI0214i-wibj_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2609972	HPSI1113i-qorq_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2445779	HPSI1113i-ieki_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2518322	HPSI1213i-hehd_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2613897	HPSI1013i-yemz_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2707507	HPSI0314i-qonc_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2698309	HPSI0314i-bubh_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2612483	HPSI0214i-feec_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2625589	HPSI0913i-lise_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2536417	HPSI0114i-eipl_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2518332	HPSI1013i-wuye_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2678738	HPSI0214i-pelm_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2445790	HPSI1113i-hayt_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2627578	HPSI0214i-heja_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2433566	HPSI1113i-bima_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2464810	HPSI1113i-qolg_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2536410	HPSI0114i-iisa_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2645811	HPSI0314i-xugn_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2682671	HPSI0314i-cuhk_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2609971	HPSI1013i-hiaf_2	excluded to avoid cell_line from same donor
HipSci	SAMEA2547633	HPSI1213i-pahc_4	excluded to avoid cell_line from same donor
HipSci	SAMEA2547644	HPSI0114i-kolf_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2555017	HPSI0114i-rozh_4	excluded to avoid cell_line from same donor
HipSci	SAMEA2474454	HPSI1013i-pamv_3	excluded to avoid cell_line from same donor
HipSci	SAMEA2533339	HPSI1113i-podx_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2536416	HPSI0114i-lexy_1	excluded to avoid cell_line from same donor
HipSci	SAMEA2518325	HPSI0114i-bezi_1	excluded to avoid cell_line from same donor
van_de_Bunt_2015	SAMEA3402296	EGAN00001277858	MBV QC analysis failed (possible contamination EGAN00001277865/SAMEA3402302)
