sex	sample_id	Y_chrom_mean	ENSG00000229807
female	UCB018	0.015560163333595996	78.8764653890333
female	UCB019	0	35.62620053003283
male	UCB024	18.9108451283388	0
female	UCB025	0.11483915181312639	76.29960335064777
female	UCB042	0	72.97522623665724
female	UCB048	0.03517144955565259	29.118373159150146
male	UCB049	15.870783196339008	0.034614662334060076
male	UCB050	26.746107873189086	0.13843196462955168
male	UCB051	17.428579778897046	0.10120929238697764
female	UCB060	9.995818951955787e-4	37.45172155174418
male	UCB062	17.696832628963776	0
male	UCB078	17.647757500755812	0
female	UCB086	0	67.18767093636335
male	UCB087	14.127210772154127	13.559724911628203
female	UCB088	0.003959125223688358	66.03187861948497
male	UCB093	15.244222420460034	0
female	UCB1001	0.018342487279305326	183.01227056280547
female	UCB1007	0.017391791373429794	91.01688882227734
female	UCB100	0.0520275836058136	62.47273004421248
female	UCB1010	0.031855735868361684	140.61798539387416
male	UCB1011	19.988880860470058	0.166381955649064
male	UCB1012	16.040771808621077	0.09637097389794766
female	UCB1014	0.02990510530133646	84.83683761733609
female	UCB1016	0.03646626118485593	243.4150542154817
female	UCB1021	0.026678331415138506	122.33590476597907
female	UCB1023	0.010271088540592742	158.11783080604576
male	UCB1024	18.67791761621254	0.24028798904854498
male	UCB1025	18.34534054490913	0.31513239237440416
female	UCB1027	0.02524892545265887	101.26242694944611
male	UCB1028	15.235805140825509	0.1569946198363141
male	UCB1029	13.94529158255402	0.049531245672638634
male	UCB1030	13.80317012878246	0.2266772792413583
male	UCB103	18.00992173137223	0
female	UCB1040	0.00866815810973595	129.60233400318387
female	UCB1045	0.0026397401074718272	109.34851013940307
male	UCB1046	16.69522430129472	0.22781925514464718
female	UCB1047	0.023994788518857495	144.41279850662943
male	UCB1048	17.163496568721943	0.027198656020736078
female	UCB1052	0.01881563889659827	169.02669647657808
female	UCB1053	0.030849312666966108	185.7004072641471
male	UCB1055	16.506758957565335	0.06758409044305855
female	UCB1056	0.02333796999774259	181.3408122111827
female	UCB1057	0.0527392829790673	83.5494646257722
female	UCB1058	0.018413628138296608	164.77009038819133
female	UCB1059	0.022554318426316205	128.333831081894
male	UCB105	23.00557213187618	0.06378621608596446
male	UCB1061	16.51982391476414	0.18622036164607084
male	UCB1062	18.552571452710684	0.05984487570507183
male	UCB1064	17.915811031374307	0.7337994740934984
male	UCB1067	18.37954538072902	0.0998744520653638
male	UCB1068	18.29774565949793	0.28671669059388255
female	UCB1069	0.0455091126794879	124.96730170690564
female	UCB1070	0.024431836646091103	160.99761551881508
female	UCB1071	0.02479578135860339	136.19885559055896
male	UCB1072	18.580230722754326	0.362067145182374
male	UCB1073	18.61713255190796	0.1457176315870584
female	UCB1074	0.052728993079704446	182.4422498538247
male	UCB1075	18.904902095798057	0.3314972271725642
female	UCB1076	0.03505775600101312	133.93387898026091
male	UCB1077	17.56899493517823	0.14071334505335403
male	UCB1078	14.795300995944322	0.968968765040877
male	UCB1079	14.465271006226743	0.18739966488775855
male	UCB1080	18.183682384066067	0.15387764917420693
female	UCB1083	0.01326484654030653	45.5290691606272
male	UCB1085	16.145844044796863	0.12089123887924923
male	UCB1086	16.40439643107935	0.06189641101540793
male	UCB1087	16.64112031626711	0.042000238224080805
female	UCB1088	0.04206780578908685	171.8920741111524
male	UCB1089	16.739517530067683	0.03623324526006781
female	UCB108	0.0020348692402866325	63.11415780429411
male	UCB1090	17.516765455541783	0.3426543102697835
female	UCB1091	0.02790233374631016	150.65989542777191
female	UCB1092	0.007393889818191927	140.74193453797105
female	UCB1094	0.05659262140446415	162.5334062580738
male	UCB1096	17.384231776725894	0.14376386222877813
male	UCB1097	16.769831135558977	0.07539584131000104
male	UCB1098	16.6402750087492	0.02506031588777542
female	UCB1099	0.055677646682238464	178.1795182952939
male	UCB1100	17.825381142706377	0.3951432166074219
male	UCB1101	16.82419972299326	0.060700964779780105
female	UCB1102	0.021839426652461358	161.50105090004786
