sample_id	file_name	ega_file_name	cell_type	condition	read_length	paired	stranded	study	protocol	genotype_id	bam_name
UCB103	UC103L_100930_5_sorted.bam	EGAF00000187139	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC103	_EGAR00001105245_UC103L_100930_5_sorted.bam
UCB1040	UCB1040_120224_4_sorted.bam	EGAF00000187254	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1040	_EGAR00001105360_UCB1040_120224_4_sorted.bam
UCB1045	UCB1045_120229_8_sorted.bam	EGAF00000187255	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1045	_EGAR00001105361_UCB1045_120229_8_sorted.bam
UCB1046	UCB1046_120224_7_sorted.bam	EGAF00000187256	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1046	_EGAR00001105362_UCB1046_120224_7_sorted.bam
UCB1047	UCB1047_120224_6_sorted.bam	EGAF00000187257	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1047	_EGAR00001105363_UCB1047_120224_6_sorted.bam
UCB1048	UCB1048_120224_8_sorted.bam	EGAF00000187258	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1048	_EGAR00001105364_UCB1048_120224_8_sorted.bam
UCB1052	UCB1052_120229_4_sorted.bam	EGAF00000187259	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1052	_EGAR00001105365_UCB1052_120229_4_sorted.bam
UCB1053	UCB1053_120229_3_sorted.bam	EGAF00000187260	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1053	_EGAR00001105366_UCB1053_120229_3_sorted.bam
UCB1055	UCB1055_120229_3_sorted.bam	EGAF00000187261	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1055	_EGAR00001105367_UCB1055_120229_3_sorted.bam
UCB1056	UCB1056_120229_7_sorted.bam	EGAF00000187262	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1056	_EGAR00001105368_UCB1056_120229_7_sorted.bam
UCB1057	UCB1057_120202_7_sorted.bam	EGAF00000187263	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1057	_EGAR00001105369_UCB1057_120202_7_sorted.bam
UCB1058	UCB1058_120229_3_sorted.bam	EGAF00000187264	LCL	naive	50bp	TRUE	FALSE	GENCORD	poly(A)	UC1058	_EGAR00001105370_UCB1058_120229_3_sorted.bam
