sex	sample_id	Y_chrom_mean	ENSG00000229807
male	S000GZB5	18.21106392516551	0.003606270238930262
female	S000X1B6	0.01395491670768124	236.23259389440673
female	S0010QB8	9.48141040084798e-4	119.47456657614187
female	S0012MB2	0.0023361280480363525	117.43459706427055
male	S001C2B8	18.79660425786129	0.011984300890712573
female	S001GVB7	0.0021689120646986378	225.72311971905623
male	S001KNB9	16.41088452775203	0.008443111977097387
male	S001NHB7	16.50278240649318	0.04773076581086889
male	S001T5B3	16.030368185693664	0.006261927192781865
male	S001YWB6	17.505168050058806	0.09510612368439221
male	S0020MBC	19.624019518677088	0
male	S0021KB8	16.139384399248407	0.01262315330204288
female	S0026AB7	0.24044053826680142	97.64180554758617
male	S00278B4	20.46056941714723	0.06737075514666169
male	S00294B8	16.095676995037913	0.039688881686545
male	S002EVB7	18.63641645437799	0.039508538334203716
male	S002FTB7	17.60065734217871	0.009442560619360434
female	S002KJB6	0.0021528858019362017	140.0487899910756
male	S002MFB7	19.90345585782414	0.037105524305433
male	S002WWB5	18.921286015064062	0.020425660997461584
male	S002XUB5	18.355582997215826	0.009954871303870487
male	S0031GB7	16.156902605341465	0.011390680095695487
male	S0032EB6	15.324399210722774	0.01132197094877074
male	S00382B6	16.5657120758093	0.01410621465654398
male	S003AZB3	15.851625876581894	0.008719140148157313
female	S003JHB9	0.021187391435278324	134.73206184139033
male	S003KFB3	15.952052687807003	0.1687079939472053
male	S003MBB2	15.69528602808898	0.008802513845563445
male	S003P5B4	17.102667330858043	0
female	S003Q3B5	0.012703187338325301	230.69931745615477
female	S003R1B5	0.0014303296353584214	139.13012424689703
female	S0041CB7	0.3551873806862964	100.1133879733717
male	S00446B5	18.982132356020205	0.13063304377002932
female	S004M7B6	0.019135006778389734	126.2400839666816
male	S004N5B7	17.48910439519531	0.0031889361261063015
male	S005N1B6	15.314742054459582	0.016065318081699344
male	S005VMB6	17.371318296802198	0.029685609219883034
male	S005WKB4	15.827602588938795	0.017135595731712586
male	S00630B1	16.871967665643698	0.009959990385122394
male	S0064ZB9	17.836213289834664	0.017699966195165444
male	S006UKB7	18.215377528359046	0.08807535859120792
male	S006XEB5	16.47337810193385	0.018308710662867413
female	S007CFB8	0.026253890268409692	169.8027805246013
female	S007DDB5	0.2666492572313103	132.27854912986282
female	S007F9B6	0.00280218054854683	85.41833758934499
male	S007G7B6	18.70722166396877	0.006727374693047699
male	S007PQB5	16.927892375537777	0.010755211892907207
male	S007WCB7	16.775492015940177	0.41713130758767875
