sample_id	ega_id	fastq	ega_file
S00UMEB4	EGAR00001299927	_EGAR00001299927_150205_SN935_0005_B_C69GUACXX_TTAGGC_3_read1.fastq.gz	EGAF00000769142
S00V57B4	EGAR00001314284	_EGAR00001314284_150224_SN546_0270_A_C6D0VACXX_TTAGGC_1_read1.fastq.gz	EGAF00000787654
S00V65B5	EGAR00001314283	_EGAR00001314283_150224_SN546_0270_A_C6D0VACXX_ACTTGA_2_read1.fastq.gz	EGAF00000787653
S00VGMB4	EGAR00001314275	_EGAR00001314275_150224_SN546_0270_A_C6D0VACXX_ATCACG_6_read1.fastq.gz	EGAF00000787643
S00VVTB4	EGAR00001299919	_EGAR00001299919_150205_SN935_0005_B_C69GUACXX_GTCCGC_7_read1.fastq.gz	EGAF00000768269
S00W29B3	EGAR00001314285	_EGAR00001314285_150224_SN546_0270_A_C6D0VACXX_GATCAG_1_read1.fastq.gz	EGAF00000787655
S00W45B3	EGAR00001299918	_EGAR00001299918_150205_SN935_0005_B_C69GUACXX_ATCACG_8_read1.fastq.gz	EGAF00000769135
S00WKAB4	EGAR00001314278	_EGAR00001314278_150224_SN546_0270_A_C6D0VACXX_GTGAAA_4_read1.fastq.gz	EGAF00000787646
S00WP0B4	EGAR00001299920	_EGAR00001299920_150205_SN935_0005_B_C69GUACXX_ACTGAT_7_read1.fastq.gz	EGAF00000769136
S00WQZB4	EGAR00001299930	_EGAR00001299930_150205_SN935_0005_B_C69GUACXX_ATCACG_2_read1.fastq.gz	EGAF00000768213
S00WRXB4	EGAR00001314272	_EGAR00001314272_150224_SN546_0270_A_C6D0VACXX_TTAGGC_7_read1.fastq.gz	EGAF00000787642
S00WTTB4	EGAR00001314277	_EGAR00001314277_150224_SN546_0270_A_C6D0VACXX_ACTGAT_5_read1.fastq.gz	EGAF00000787645
S00XGEB4	EGAR00001299921	_EGAR00001299921_150205_SN935_0005_B_C69GUACXX_GTGAAA_6_read1.fastq.gz	EGAF00000769137
S00XK6B4	EGAR00001299923	_EGAR00001299923_150205_SN935_0005_B_C69GUACXX_GCCAAT_5_read1.fastq.gz	EGAF00000768270
S00XRTB4	EGAR00001299917	_EGAR00001299917_150205_SN935_0005_B_C69GUACXX_GAGTGG_8_read1.fastq.gz	EGAF00000769134
S00YBKB4	EGAR00001314281	_EGAR00001314281_150224_SN546_0270_A_C6D0VACXX_CTTGTA_3_read1.fastq.gz	EGAF00000787651
S00YCIB4	EGAR00001299929	_EGAR00001299929_150205_SN935_0005_B_C69GUACXX_GAGTGG_2_read1.fastq.gz	EGAF00000769144
S00YEEB4	EGAR00001299924	_EGAR00001299924_150205_SN935_0005_B_C69GUACXX_CTTGTA_5_read1.fastq.gz	EGAF00000769139
S00YH8B4	EGAR00001314280	_EGAR00001314280_150224_SN546_0270_A_C6D0VACXX_GCCAAT_3_read1.fastq.gz	EGAF00000787650
S00YK2B4	EGAR00001314282	_EGAR00001314282_150224_SN546_0270_A_C6D0VACXX_TGACCA_2_read1.fastq.gz	EGAF00000787652
S00YRPB4	EGAR00001314279	_EGAR00001314279_150224_SN546_0270_A_C6D0VACXX_ACAGTG_4_read1.fastq.gz	EGAF00000787647
S00YVHB4	EGAR00001314273	_EGAR00001314273_150224_SN546_0270_A_C6D0VACXX_GATCAG_7_read1.fastq.gz	EGAF00000787628
S0100MB5	EGAR00001299926	_EGAR00001299926_150205_SN935_0005_B_C69GUACXX_ACTTGA_4_read1.fastq.gz	EGAF00000769141
S010B0B3	EGAR00001314276	_EGAR00001314276_150224_SN546_0270_A_C6D0VACXX_GTCCGC_5_read1.fastq.gz	EGAF00000787644
S010MFB5	EGAR00001320091	_EGAR00001320091_150402_SN935_0014_B_C700DACXX_TGACCA_6_read1.fastq.gz	EGAF00000792088
