sample_id	genotype_id	fq1	fq2	sex	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188078	HG00372	ERR188078_1.fastq.gz	ERR188078_2.fastq.gz	male	SAME124748	FIN	Finnish	EUR	European
ERR188079	NA20778	ERR188079_1.fastq.gz	ERR188079_2.fastq.gz	male	SAME124571	TSI	Tuscan	EUR	European
ERR188080	HG00250	ERR188080_1.fastq.gz	ERR188080_2.fastq.gz	female	SAME123054	GBR	British	EUR	European
ERR188081	NA12814	ERR188081_1.fastq.gz	ERR188081_2.fastq.gz	male	SAME123021	CEU	CEPH	EUR	European
ERR188082	HG00110	ERR188082_1.fastq.gz	ERR188082_2.fastq.gz	female	SAME125339	GBR	British	EUR	European
ERR188083	HG00285	ERR188083_1.fastq.gz	ERR188083_2.fastq.gz	female	SAME122836	FIN	Finnish	EUR	European
ERR188084	HG00152	ERR188084_1.fastq.gz	ERR188084_2.fastq.gz	male	SAME124593	GBR	British	EUR	European
ERR188085	NA18520	ERR188085_1.fastq.gz	ERR188085_2.fastq.gz	female	SAME123565	YRI	Yoruba	AFR	African
ERR188086	NA11892	ERR188086_1.fastq.gz	ERR188086_2.fastq.gz	female	SAME123045	CEU	CEPH	EUR	European
ERR188087	HG00121	ERR188087_1.fastq.gz	ERR188087_2.fastq.gz	female	SAME122873	GBR	British	EUR	European
ERR188088	NA20504	ERR188088_1.fastq.gz	ERR188088_2.fastq.gz	female	SAME124360	TSI	Tuscan	EUR	European
ERR188089	HG00358	ERR188089_1.fastq.gz	ERR188089_2.fastq.gz	male	SAME125126	FIN	Finnish	EUR	European
ERR188090	HG00186	ERR188090_1.fastq.gz	ERR188090_2.fastq.gz	male	SAME123647	FIN	Finnish	EUR	European
ERR188091	HG00256	ERR188091_1.fastq.gz	ERR188091_2.fastq.gz	male	SAME123048	GBR	British	EUR	European
ERR188092	NA12546	ERR188092_1.fastq.gz	ERR188092_2.fastq.gz	male	SAME124777	CEU	CEPH	EUR	European
ERR188093	NA19150	ERR188093_1.fastq.gz	ERR188093_2.fastq.gz	male	SAME124838	YRI	Yoruba	AFR	African
ERR188094	NA20806	ERR188094_1.fastq.gz	ERR188094_2.fastq.gz	male	SAME125362	TSI	Tuscan	EUR	European
ERR188095	HG00137	ERR188095_1.fastq.gz	ERR188095_2.fastq.gz	female	SAME123066	GBR	British	EUR	European
ERR188096	NA18933	ERR188096_1.fastq.gz	ERR188096_2.fastq.gz	female	SAME123037	YRI	Yoruba	AFR	African
ERR188097	NA18511	ERR188097_1.fastq.gz	ERR188097_2.fastq.gz	female	SAME124885	YRI	Yoruba	AFR	African
ERR188098	HG00337	ERR188098_1.fastq.gz	ERR188098_2.fastq.gz	female	SAME123984	FIN	Finnish	EUR	European
ERR188099	NA12843	ERR188099_1.fastq.gz	ERR188099_2.fastq.gz	female	SAME123541	CEU	CEPH	EUR	European
ERR188100	NA12762	ERR188100_1.fastq.gz	ERR188100_2.fastq.gz	male	SAME125109	CEU	CEPH	EUR	European
ERR188101	NA10847	ERR188101_1.fastq.gz	ERR188101_2.fastq.gz	female	SAME124757	CEU	CEPH	EUR	European
ERR188102	HG00383	ERR188102_1.fastq.gz	ERR188102_2.fastq.gz	female	SAME123032	FIN	Finnish	EUR	European
ERR188103	NA19184	ERR188103_1.fastq.gz	ERR188103_2.fastq.gz	male	SAME123859	YRI	Yoruba	AFR	African
ERR188104	NA19146	ERR188104_1.fastq.gz	ERR188104_2.fastq.gz	male	SAME125080	YRI	Yoruba	AFR	African
ERR188105	NA20768	ERR188105_1.fastq.gz	ERR188105_2.fastq.gz	female	SAME124372	TSI	Tuscan	EUR	European
ERR188106	HG00247	ERR188106_1.fastq.gz	ERR188106_2.fastq.gz	female	SAME123220	GBR	British	EUR	European
ERR188107	NA12342	ERR188107_1.fastq.gz	ERR188107_2.fastq.gz	male	SAME125155	CEU	CEPH	EUR	European
ERR188108	NA20754	ERR188108_1.fastq.gz	ERR188108_2.fastq.gz	male	SAME124173	TSI	Tuscan	EUR	European
ERR188109	NA19121	ERR188109_1.fastq.gz	ERR188109_2.fastq.gz	male	SAME125015	YRI	Yoruba	AFR	African
ERR188110	NA20760	ERR188110_1.fastq.gz	ERR188110_2.fastq.gz	female	SAME124364	TSI	Tuscan	EUR	European
ERR188111	HG00255	ERR188111_1.fastq.gz	ERR188111_2.fastq.gz	female	SAME123049	GBR	British	EUR	European
ERR188112	HG00239	ERR188112_1.fastq.gz	ERR188112_2.fastq.gz	female	SAME124130	GBR	British	EUR	European
ERR188113	HG00324	ERR188113_1.fastq.gz	ERR188113_2.fastq.gz	female	SAME123794	FIN	Finnish	EUR	European
ERR188114	NA20534	ERR188114_1.fastq.gz	ERR188114_2.fastq.gz	male	SAME124165	TSI	Tuscan	EUR	European
ERR188115	HG00382	ERR188115_1.fastq.gz	ERR188115_2.fastq.gz	male	SAME123033	FIN	Finnish	EUR	European
ERR188116	HG00151	ERR188116_1.fastq.gz	ERR188116_2.fastq.gz	male	SAME124592	GBR	British	EUR	European
ERR188117	HG00268	ERR188117_1.fastq.gz	ERR188117_2.fastq.gz	female	SAME123574	FIN	Finnish	EUR	European
ERR188118	HG00181	ERR188118_1.fastq.gz	ERR188118_2.fastq.gz	male	SAME123644	FIN	Finnish	EUR	European
ERR188119	HG00119	ERR188119_1.fastq.gz	ERR188119_2.fastq.gz	male	SAME125348	GBR	British	EUR	European
ERR188120	NA19256	ERR188120_1.fastq.gz	ERR188120_2.fastq.gz	male	SAME124707	YRI	Yoruba	AFR	African
ERR188121	HG00311	ERR188121_1.fastq.gz	ERR188121_2.fastq.gz	male	SAME124339	FIN	Finnish	EUR	European
ERR188122	NA11894	ERR188122_1.fastq.gz	ERR188122_2.fastq.gz	female	SAME123043	CEU	CEPH	EUR	European
ERR188123	HG00313	ERR188123_1.fastq.gz	ERR188123_2.fastq.gz	female	SAME124337	FIN	Finnish	EUR	European
ERR188124	HG00351	ERR188124_1.fastq.gz	ERR188124_2.fastq.gz	male	SAME125122	FIN	Finnish	EUR	European
ERR188125	NA20826	ERR188125_1.fastq.gz	ERR188125_2.fastq.gz	female	SAME123070	TSI	Tuscan	EUR	European
ERR188126	NA20766	ERR188126_1.fastq.gz	ERR188126_2.fastq.gz	female	SAME124370	TSI	Tuscan	EUR	European
ERR188127	HG00334	ERR188127_1.fastq.gz	ERR188127_2.fastq.gz	female	SAME123981	FIN	Finnish	EUR	European
ERR188128	NA19092	ERR188128_1.fastq.gz	ERR188128_2.fastq.gz	male	SAME123173	YRI	Yoruba	AFR	African
ERR188129	NA19197	ERR188129_1.fastq.gz	ERR188129_2.fastq.gz	female	SAME125309	YRI	Yoruba	AFR	African
ERR188130	HG00261	ERR188130_1.fastq.gz	ERR188130_2.fastq.gz	female	SAME123583	GBR	British	EUR	European
ERR188131	NA19213	ERR188131_1.fastq.gz	ERR188131_2.fastq.gz	male	SAME125384	YRI	Yoruba	AFR	African
ERR188132	NA20797	ERR188132_1.fastq.gz	ERR188132_2.fastq.gz	female	SAME123820	TSI	Tuscan	EUR	European
ERR188133	HG00135	ERR188133_1.fastq.gz	ERR188133_2.fastq.gz	female	SAME123068	GBR	British	EUR	European
ERR188134	NA12827	ERR188134_1.fastq.gz	ERR188134_2.fastq.gz	male	SAME125077	CEU	CEPH	EUR	European
ERR188135	NA07346	ERR188135_1.fastq.gz	ERR188135_2.fastq.gz	female	SAME123571	CEU	CEPH	EUR	European
ERR188136	HG00103	ERR188136_1.fastq.gz	ERR188136_2.fastq.gz	male	SAME125151	GBR	British	EUR	European
ERR188137	NA20812	ERR188137_1.fastq.gz	ERR188137_2.fastq.gz	male	SAME125190	TSI	Tuscan	EUR	European
ERR188138	NA20539	ERR188138_1.fastq.gz	ERR188138_2.fastq.gz	male	SAME124164	TSI	Tuscan	EUR	European
ERR188139	NA18917	ERR188139_1.fastq.gz	ERR188139_2.fastq.gz	male	SAME123407	YRI	Yoruba	AFR	African
ERR188140	NA12716	ERR188140_1.fastq.gz	ERR188140_2.fastq.gz	male	SAME123912	CEU	CEPH	EUR	European
ERR188141	HG00343	ERR188141_1.fastq.gz	ERR188141_2.fastq.gz	female	SAME124923	FIN	Finnish	EUR	European
ERR188142	NA12287	ERR188142_1.fastq.gz	ERR188142_2.fastq.gz	female	SAME124641	CEU	CEPH	EUR	European
