sex	sample_id	Y_chrom_mean	ENSG00000229807
female	ERR188021	0.022645954062200407	44.715136822517046
male	ERR188022	16.64805846310474	0.024254390980322987
female	ERR188023	0.02318330252277151	10.657026724917026
female	ERR188024	0	70.31701543657508
female	ERR188025	0	7.003515688576315
male	ERR188026	14.39933684045621	0.015935319327034164
female	ERR188027	0.010241180660082064	11.167503428977236
male	ERR188028	13.5839682432262	0.040856202958317586
female	ERR188029	0.023160134698592138	32.51860177405011
male	ERR188030	13.414519840828856	0.033656287264547585
female	ERR188031	0.018745773074757797	8.664609379603613
female	ERR188032	0.01101034515147665	21.82497915505669
male	ERR188033	15.278954359489822	0.01067443028106622
male	ERR188034	16.501501720060475	0
female	ERR188035	0.01143632895336079	5.978444021166839
female	ERR188036	0.0175363081213485	51.660695092083394
male	ERR188037	18.279066955954885	0.025440722206931454
male	ERR188038	15.828179137505785	0.022540205240859496
male	ERR188039	16.07160142527947	0.06572065184495729
male	ERR188040	18.558306716843706	0.019605801516118362
male	ERR188041	16.807186669041222	0.012986882912383164
female	ERR188042	0.010086091620314751	63.81293531621513
female	ERR188043	0.022949712047759092	29.06606740635734
male	ERR188044	15.727721644252929	0.014919559151618127
male	ERR188045	19.8710502042641	0.017253705051432332
female	ERR188046	0.030043099136023817	23.058740234230928
male	ERR188047	17.12052308445932	0.020101315912351536
female	ERR188048	0	6.404018578479826
female	ERR188049	0.004493197042908354	3.3894742884424285
male	ERR188050	19.070503356514493	0.017228886794401634
female	ERR188051	0	4.738793153111975
female	ERR188052	0.009105158222449783	26.39443705943226
male	ERR188053	18.64352077567236	0
male	ERR188054	19.986013792289214	0.007533555293062073
male	ERR188055	12.351036703352557	0.03439360288814143
female	ERR188056	0.01090357262807902	7.447469282574083
female	ERR188057	0.016735605618404648	16.7034933865767
male	ERR188058	18.38209896217083	0.01883099866434895
female	ERR188059	0.013279168826225731	49.80173826179128
female	ERR188060	0.02360643054213168	3.0427094192447197
female	ERR188061	0.01277037797129089	34.485958366356584
male	ERR188062	14.539905895989923	0.033302300001079935
male	ERR188063	15.52507151715813	0.009396092554498444
male	ERR188064	11.897973700170189	0.014460288383515459
male	ERR188065	13.534569043426393	0.04634041610769501
female	ERR188066	0.0031090507310971125	15.624277839339678
male	ERR188067	13.053340736326644	0.018769404206135636
male	ERR188068	17.27977966572661	0.011246626964370317
male	ERR188069	15.9701517570238	0.010126672418207725
female	ERR188070	0.011965850955874617	20.591008707714252
male	ERR188071	16.640173528145258	0.02600486939300682
female	ERR188072	0.012626838747331361	22.91329482895525
male	ERR188073	16.19774258453757	0.02664946026708528
female	ERR188074	0.006205434245304958	10.29616814529392
female	ERR188075	0.04521148604963661	7.486814334663843
female	ERR188076	0.01408839061310215	8.43694737464763
male	ERR188077	14.58007138155479	0.006076239932311231
male	ERR188078	19.508279555140568	0
male	ERR188079	19.081077047583154	0.05918045943368392
female	ERR188080	0.017717066409393953	48.879427230032306
male	ERR188081	14.940929538832506	0.019077840980926616
female	ERR188082	0	8.001853055566503
female	ERR188083	0.013045401297297712	44.64340353312356
male	ERR188084	13.21073080633268	0.025556465240116035
female	ERR188085	0.01695816612163976	14.525415025268451
female	ERR188086	0	6.788092500492189
female	ERR188087	0.017128386932566176	15.125410153047357
female	ERR188088	0.009809327765972856	3.2317823449584964
male	ERR188089	17.774980413874687	0.021730621737628693
male	ERR188090	13.61427609470037	0.030841899612032993
male	ERR188091	16.444142596568213	0.006867030186197288
male	ERR188092	16.567420497850218	0.013914980688610705
male	ERR188093	19.09738470005702	0.009438955344557418
male	ERR188094	16.04256264844401	0.05522484324437205
female	ERR188095	0.007389399298197291	8.987796762674627
female	ERR188096	0.03470085367742857	16.946549454840053
female	ERR188097	0.0105126023140414	34.78745536041174
female	ERR188098	0.015109164387695306	11.172453659846399
female	ERR188099	0.01873481330577662	10.734720448528343
male	ERR188100	16.239938691880045	0
female	ERR188101	0.023813648078653847	9.489636841352358
female	ERR188102	0.013655825201090096	26.717228906411734
male	ERR188103	13.462974575629953	0.03820971896461901
male	ERR188104	19.295764861939645	0
female	ERR188105	0.01664790755536569	27.78847799674918
female	ERR188106	0.007532378639383858	15.361540534989512
male	ERR188107	13.807150647390614	0.028894655301837477
male	ERR188108	8.534329046958979	0
male	ERR188109	16.81473827047714	0.044043797506284794
female	ERR188110	0.0083777871592159	20.931775831031807
female	ERR188111	0.014381899114843194	52.91479347921579
female	ERR188112	0.01945423610890877	48.121155980439546
female	ERR188113	4.314963703234532e-4	19.064712400710597
male	ERR188114	17.690021270365733	0.007526019587769617
male	ERR188115	18.94893697847064	0.020851895893850076
male	ERR188116	16.163646250814946	0
female	ERR188117	0.0432049997306766	10.791956574381059
male	ERR188118	15.088922863967667	0
male	ERR188119	21.101571779817323	0
male	ERR188120	15.521191072919809	0.009270254670977644
male	ERR188121	16.313336522530097	0.04905566834961182
female	ERR188122	0.008620285014039376	5.134586582171765
female	ERR188123	0.013003105783077038	51.28377326248762
male	ERR188124	14.795300545261076	0.024344141323065997
female	ERR188125	0.02866022897370789	8.558081170953608
female	ERR188126	7.578774793299252e-4	55.34660997164958
female	ERR188127	0.011666119625757278	8.775035998661238
male	ERR188128	12.46964977818211	0.032119092684692326
female	ERR188129	0.003962054985594217	45.7486283112071
female	ERR188130	0.014579677226179552	24.477372953058026
male	ERR188131	16.708350973822643	0.03122916027824941
female	ERR188132	0.0013596823109098936	11.702740759115974
female	ERR188133	0.011679054158204302	25.35116342020677
male	ERR188134	17.97700744949179	0.033802023332040354
