fastq_md5	fastq_ftp
cd337ee1868183e21bcde40f32719d1d;b87fcb8c56daaecbb744d90ced185c96	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225853/ERR225853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225853/ERR225853_2.fastq.gz
6a1b8bab81fc2ab86b7af1121b943157;b2b2e55eef3b1e710ea7b2c242005b57	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225854/ERR225854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225854/ERR225854_2.fastq.gz
fb98cf4dd3b8ef0c2d997d090a13ce60;39ff716287fc70bea3420260dd192bb0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225855/ERR225855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225855/ERR225855_2.fastq.gz
9d1818e39142a413edfa956433cb446a;8624c13794efc209c291a9eaca68a278	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225856/ERR225856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225856/ERR225856_2.fastq.gz
37571e06a566c4535a11d002a33d28f1;cd873fda624b97cf871c1b9a3242e6e1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225857/ERR225857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225857/ERR225857_2.fastq.gz
cf21536a24f2c119448a94d205f5af6d;e6feebf8af0a72d0f7db51eb35bfadd4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225858/ERR225858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225858/ERR225858_2.fastq.gz
627041979005d2094780393ce982c1e9;6239b79e5248002dfc52e377fbccee4b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225859/ERR225859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225859/ERR225859_2.fastq.gz
97be39698354ed06385209e48a1b95c4;e65f9aed0c04e9fcb5127b45b314934e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225860/ERR225860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225860/ERR225860_2.fastq.gz
dba9883572e957b56c2d96f0e0cde32e;63e695fd745bfea86a168179130b0eaa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225861/ERR225861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225861/ERR225861_2.fastq.gz
552bb18d982f98afcacffd8325047d06;46aab6c0d02bfffe7e8394ab03fab595	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225862/ERR225862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225862/ERR225862_2.fastq.gz
