biosample_id	sample_id	sample_name	sex	donor_id
SAMN10104248	SRR7463468	0668V062311_IFN	male	IGTB668
SAMN10104287	SRR7463469	0670V081111_IFN	female	IGTB670
SAMN10103980	SRR7463470	0678V081811_IFN	male	IGTB678
SAMN10104020	SRR7463471	0695V060711_IFN	male	IGTB695
SAMN10104367	SRR7463472	0697V120611_IFN	female	IGTB697
SAMN10103968	SRR7463473	0707V030911_IFN	male	IGTB707
SAMN10104476	SRR7463474	0713V020311_IFN	female	IGTB713
SAMN10104240	SRR7463475	0719V110211_IFN	female	IGTB719
SAMN10104414	SRR7463476	0731V012412_IFN	female	IGTB731
SAMN10103953	SRR7463477	0760V110211_IFN	female	IGTB1112
SAMN10104329	SRR7463478	0775V121511_IFN	female	IGTB775
SAMN10104211	SRR7463479	0797V071411_IFN	male	IGTB797
SAMN10104136	SRR7463480	0802V063011_IFN	female	IGTB802
SAMN10104074	SRR7463481	0809V082411_IFN	male	IGTB1111
SAMN10104468	SRR7463482	0836V030311_IFN	female	IGTB836
SAMN10104403	SRR7463483	0839V112211_IFN	male	IGTB839
SAMN10104477	SRR7463484	0843V021711_IFN	female	IGTB843
SAMN10104474	SRR7463485	0863V113011_IFN	female	IGTB863
SAMN10104375	SRR7463486	0865V080311_IFN	female	IGTB865
SAMN10103955	SRR7463487	0867V012011_IFN	female	IGTB867
SAMN10104126	SRR7463488	0876V030211_IFN	female	IGTB876
SAMN10104184	SRR7463489	0880V110811_IFN	male	IGTB880
SAMN10104007	SRR7463490	0888V111511_IFN	female	IGTB888
SAMN10104111	SRR7463491	0899V030811_IFN	male	IGTB899
SAMN10103931	SRR7463493	0917V031711_IFN	female	IGTB917
SAMN10104130	SRR7463494	0920V011911_IFN	male	IGTB920
SAMN10104158	SRR7463495	0930V062911_IFN	male	IGTB930
SAMN10103943	SRR7463496	0940V030211_IFN	male	IGTB940
SAMN10104102	SRR7463497	0945V051911_IFN	male	IGTB945
SAMN10104400	SRR7463498	0980V111611_IFN	female	IGTB980
SAMN10104369	SRR7463499	1008V101911_IFN	male	IGTB1008
SAMN10104335	SRR7463500	1021V071911_IFN	male	IGTB1021
SAMN10104013	SRR7463501	1037V090711_IFN	male	IGTB1037
SAMN10104256	SRR7463502	1046V082411_IFN	female	IGTB1046
SAMN10104250	SRR7463503	1057V100411_IFN	female	IGTB1057
SAMN10104360	SRR7463504	1088V060911_IFN	male	IGTB1088
SAMN10104280	SRR7463505	1105V111511_IFN	male	IGTB1105
SAMN10104149	SRR7463506	1111V031511_IFN	male	IGTB1111
SAMN10104401	SRR7463507	1112V110911_IFN	female	IGTB1112
SAMN10104031	SRR7463508	1114V042011_IFN	male	IGTB1114
SAMN10104284	SRR7463509	1130V011911_IFN	female	IGTB1130
SAMN10104104	SRR7463510	1131V102711_IFN	male	IGTB1131
SAMN10104201	SRR7463511	1133V021511_IFN	female	IGTB1133
SAMN10104131	SRR7463512	1135V072711_IFN	male	IGTB1135
SAMN10104455	SRR7463513	1136V081011_IFN	female	IGTB1136
SAMN10104151	SRR7463514	1138V031711_IFN	female	IGTB1138
SAMN10104193	SRR7463515	1140V033011_IFN	male	IGTB1140
SAMN10104170	SRR7463516	1145V051811_IFN	female	IGTB1145
SAMN10104162	SRR7463517	1148V090811_IFN	female	IGTB1148
SAMN10103993	SRR7463518	1156V061511_IFN	female	IGTB1156
SAMN10104358	SRR7463519	1162V040711_IFN	female	IGTB1162
SAMN10104187	SRR7463520	1164V120111_IFN	female	IGTB1164
SAMN10104011	SRR7463521	1165V041211_IFN	male	IGTB1165
SAMN10104049	SRR7463522	1166V041211_IFN	female	IGTB1166
SAMN10104420	SRR7463523	1168V062811_IFN	male	IGTB1168
SAMN10104276	SRR7463524	1170V042011_IFN	male	IGTB1170
SAMN10104148	SRR7463525	1192V051811_IFN	female	IGTB1192
SAMN10104204	SRR7463526	1193V042111_IFN	male	IGTB1193
SAMN10104091	SRR7463527	1195V110311_IFN	female	IGTB1195
SAMN10103928	SRR7463528	1197V041211_IFN	male	IGTB1197
SAMN10104454	SRR7463529	1198V042011_IFN	female	IGTB1198
SAMN10103973	SRR7463530	1200V041311_IFN	male	IGTB1200
SAMN10104175	SRR7463531	1202V051711_IFN	male	IGTB1202
SAMN10104397	SRR7463532	1203V042011_IFN	female	IGTB1203
SAMN10104016	SRR7463533	1205V111511_IFN	female	IGTB1205
SAMN10104308	SRR7463534	1217V080411_IFN	female	IGTB1217
SAMN10104407	SRR7463535	1222V062311_IFN	female	IGTB1222
SAMN10104264	SRR7463536	1223V051911_IFN	male	IGTB1223
SAMN10104471	SRR7463537	1227V051211_IFN	female	IGTB1227
SAMN10104180	SRR7463538	1229V062811_IFN	female	IGTB1229
SAMN10103942	SRR7463539	1231V110211_IFN	female	IGTB1231
SAMN10104129	SRR7463540	1237V021512_IFN	female	IGTB1237
SAMN10104062	SRR7463541	1242V110311_IFN	female	IGTB1242
SAMN10104219	SRR7463542	1245V082311_IFN	male	IGTB1245
SAMN10104010	SRR7463543	1248V121311_IFN	female	IGTB1248
SAMN10103922	SRR7463544	1250V083011_IFN	male	IGTB1250
SAMN10104083	SRR7463545	1255V111711_IFN	male	IGTB1255
SAMN10104364	SRR7463546	1265V022212_IFN	male	IGTB1265
SAMN10104328	SRR7463547	1266V111511_IFN	female	IGTB1266
SAMN10104464	SRR7463548	1268V102711_IFN	female	IGTB1268
SAMN10104434	SRR7463549	1272V110111_IFN	female	IGTB1272
SAMN10104346	SRR7463550	1274V102611_IFN	male	IGTB1274
SAMN10104163	SRR7463551	1275V060811_IFN	female	IGTB1275
SAMN10104412	SRR7463552	1282V110811_IFN	female	IGTB1282
SAMN10104458	SRR7463553	1290V120611_IFN	female	IGTB1290
SAMN10104110	SRR7463554	1292V060211_IFN	female	IGTB1292
SAMN10104447	SRR7463555	1293V101911_IFN	female	IGTB1293
SAMN10104376	SRR7463556	1294V121411_IFN	female	IGTB1294
SAMN10104005	SRR7463557	1297V120711_IFN	female	IGTB1297
SAMN10103957	SRR7463558	1302V101911_IFN	male	IGTB1302
SAMN10104208	SRR7463559	1305V053111_IFN	male	IGTB1305
SAMN10104220	SRR7463560	1308V011912_IFN	female	IGTB1308
SAMN10104146	SRR7463561	1312V011812_IFN	female	IGTB1312
SAMN10104075	SRR7463562	1314V110911_IFN	male	IGTB1314
SAMN10104140	SRR7463563	1317V091311_IFN	male	IGTB1317
SAMN10104054	SRR7463564	1319V120611_IFN	female	IGTB1319
SAMN10104342	SRR7463565	1320V060211_IFN	male	IGTB1320
SAMN10104172	SRR7463566	1324V060111_IFN	male	IGTB1324
SAMN10104044	SRR7463567	1327V102011_IFN	male	IGTB1327
SAMN10104043	SRR7463568	1331V012412_IFN	female	IGTB1331
SAMN10104282	SRR7463569	1335V060111_IFN	male	IGTB1335
SAMN10104027	SRR7463570	1344V062811_IFN	male	IGTB1344
SAMN10104269	SRR7463571	1345V092811_IFN	male	IGTB1345
SAMN10104114	SRR7463572	1355V060711_IFN	male	IGTB1355
SAMN10104258	SRR7463573	1359V020712_IFN	male	IGTB1359
SAMN10104304	SRR7463574	1360V102011_IFN	female	IGTB1360
SAMN10104177	SRR7463575	1361V062311_IFN	male	IGTB1361
SAMN10104391	SRR7463576	1365V071211_IFN	female	IGTB1365
SAMN10104128	SRR7463577	1366V102611_IFN	female	IGTB1366
