biosample_id	sample_id	sample_name	sex	donor_id
SAMN10104238	SRR7463765	1193V042111_FLU	male	IGTB1193
SAMN10103984	SRR7463766	1195V110311_FLU	female	IGTB1195
SAMN10104191	SRR7463767	1197V041211_FLU	male	IGTB1197
SAMN10104198	SRR7463768	1198V042011_FLU	female	IGTB1198
SAMN10103962	SRR7463769	1200V041311_FLU	male	IGTB1200
SAMN10104441	SRR7463770	1202V051711_FLU	male	IGTB1202
SAMN10104050	SRR7463771	1203V042011_FLU	female	IGTB1203
SAMN10104438	SRR7463772	1205V111511_FLU	female	IGTB1205
SAMN10104442	SRR7463773	1217V080411_FLU	female	IGTB1217
SAMN10103976	SRR7463774	1222V062311_FLU	female	IGTB1222
SAMN10104475	SRR7463775	1223V051911_FLU	male	IGTB1223
SAMN10104357	SRR7463776	1227V051211_FLU	female	IGTB1227
SAMN10104318	SRR7463777	1229V062811_FLU	female	IGTB1229
SAMN10104470	SRR7463778	1231V110211_FLU	female	IGTB1231
SAMN10103937	SRR7463779	1237V021512_FLU	female	IGTB1237
SAMN10104380	SRR7463780	1242V110311_FLU	female	IGTB1242
SAMN10103999	SRR7463781	1245V082311_FLU	male	IGTB1245
SAMN10104271	SRR7463782	1248V121311_FLU	female	IGTB1248
SAMN10104176	SRR7463783	1250V083011_FLU	male	IGTB1250
SAMN10104410	SRR7463784	1255V111711_FLU	male	IGTB1255
SAMN10104188	SRR7463785	1265V022212_FLU	male	IGTB1265
SAMN10104143	SRR7463786	1266V111511_FLU	female	IGTB1266
SAMN10104203	SRR7463787	1268V102711_FLU	female	IGTB1268
SAMN10103970	SRR7463788	1272V110111_FLU	female	IGTB1272
SAMN10104060	SRR7463789	1274V102611_FLU	male	IGTB1274
SAMN10104135	SRR7463790	1275V060811_FLU	female	IGTB1275
SAMN10104245	SRR7463791	1279V060911_FLU	female	IGTB1279
SAMN10103932	SRR7463792	1282V110811_FLU	female	IGTB1282
SAMN10104185	SRR7463793	1290V120611_FLU	female	IGTB1290
SAMN10103952	SRR7463794	1292V060211_FLU	female	IGTB1292
SAMN10104094	SRR7463795	1293V101911_FLU	female	IGTB1293
SAMN10104426	SRR7463796	1294V121411_FLU	female	IGTB1294
SAMN10103958	SRR7463797	1297V120711_FLU	female	IGTB1297
SAMN10104272	SRR7463798	1300V090711_FLU	female	IGTB1300
SAMN10104166	SRR7463799	1302V101911_FLU	male	IGTB1302
SAMN10104134	SRR7463800	1305V053111_FLU	male	IGTB1305
SAMN10103918	SRR7463801	1308V011912_FLU	female	IGTB1308
SAMN10104247	SRR7463802	1312V011812_FLU	female	IGTB1312
SAMN10104190	SRR7463803	1314V110911_FLU	male	IGTB1314
SAMN10103926	SRR7463804	1317V091311_FLU	male	IGTB1317
SAMN10104026	SRR7463805	1319V120611_FLU	female	IGTB1319
SAMN10104383	SRR7463806	1320V060211_FLU	male	IGTB1320
SAMN10104316	SRR7463807	1324V060111_FLU	male	IGTB1324
SAMN10104428	SRR7463808	1327V102011_FLU	male	IGTB1327
SAMN10104236	SRR7463809	1331V012412_FLU	female	IGTB1331
SAMN10104040	SRR7463810	1335V060111_FLU	male	IGTB1335
SAMN10104418	SRR7463811	1344V062811_FLU	male	IGTB1344
SAMN10104486	SRR7463812	1345V092811_FLU	male	IGTB1345
SAMN10104340	SRR7463813	1355V060711_FLU	male	IGTB1355
SAMN10104042	SRR7463814	1359V020712_FLU	male	IGTB1359
SAMN10104338	SRR7463815	1360V102011_FLU	female	IGTB1360
SAMN10104205	SRR7463816	1361V062311_FLU	male	IGTB1361
SAMN10104213	SRR7463817	1365V071211_FLU	female	IGTB1365
SAMN10104388	SRR7463818	1366V102611_FLU	female	IGTB1366
SAMN10104296	SRR7463819	1369V071211_FLU	female	IGTB1369
SAMN10104409	SRR7463820	1370V101311_FLU	male	IGTB1370
SAMN10104265	SRR7463821	1372V062911_FLU	female	IGTB1372
SAMN10104283	SRR7463822	1375V071211_FLU	female	IGTB1375
SAMN10104088	SRR7463823	1380V101911_FLU	male	IGTB1380
SAMN10103978	SRR7463824	1384V072111_FLU	male	IGTB1384
SAMN10104491	SRR7463825	1385V072011_FLU	male	IGTB1385
SAMN10104133	SRR7463826	1393V060711_FLU	female	IGTB1393
SAMN10104437	SRR7463827	1394V082511_FLU	male	IGTB1394
SAMN10104210	SRR7463828	1396V022212_FLU	female	IGTB1396
SAMN10103947	SRR7463829	1399V111011_FLU	female	IGTB1399
SAMN10104262	SRR7463830	1406V111511_FLU	female	IGTB1406
SAMN10104321	SRR7463831	1411V110311_FLU	female	IGTB1411
SAMN10103930	SRR7463832	1415V091311_FLU	female	IGTB1415
SAMN10104333	SRR7463833	1416V021612_FLU	male	IGTB1416
SAMN10104449	SRR7463834	1417V092911_FLU	male	IGTB1417
SAMN10104481	SRR7463835	1418V080911_FLU	female	IGTB1418
SAMN10103982	SRR7463836	1419V110111_FLU	female	IGTB1419
SAMN10104462	SRR7463837	1421V091311_FLU	male	IGTB1421
SAMN10104429	SRR7463838	1424V081811_FLU	female	IGTB1424
SAMN10104168	SRR7463839	1432V092111_FLU	male	IGTB1432
SAMN10104053	SRR7463840	1433V080211_FLU	male	IGTB1433
SAMN10103992	SRR7463841	1434V081811_FLU	female	IGTB1434
SAMN10104077	SRR7463842	1436V110311_FLU	female	IGTB1436
SAMN10104153	SRR7463843	1437V110911_FLU	female	IGTB1437
SAMN10104182	SRR7463844	1438V081111_FLU	female	IGTB1438
SAMN10104406	SRR7463845	1439V092111_FLU	male	IGTB1439
SAMN10104055	SRR7463846	1440V101211_FLU	male	IGTB1440
SAMN10104036	SRR7463847	1442V100411_FLU	female	IGTB1442
SAMN10104395	SRR7463848	1446V062811_FLU	male	IGTB1446
SAMN10104355	SRR7463849	1447V100611_FLU	female	IGTB1447
SAMN10104306	SRR7463850	1448V081711_FLU	female	IGTB1448
SAMN10104012	SRR7463851	1449V092711_FLU	male	IGTB1449
SAMN10104456	SRR7463852	1452V063011_FLU	male	IGTB1452
SAMN10104404	SRR7463853	1458V092711_FLU	male	IGTB1458
SAMN10104218	SRR7463854	1466V011812_FLU	male	IGTB1466
SAMN10103951	SRR7463855	1467V121411_FLU	female	IGTB1467
SAMN10104117	SRR7463856	1472V110311_FLU	female	IGTB1472
SAMN10104039	SRR7463857	1474V020912_FLU	female	IGTB1474
SAMN10104015	SRR7463858	1475V013112_FLU	male	IGTB1475
SAMN10104237	SRR7463859	1478V020812_FLU	female	IGTB1478
SAMN10104001	SRR7463860	1479V092911_FLU	male	IGTB1479
SAMN10104295	SRR7463861	1483V092811_FLU	male	IGTB1483
SAMN10103917	SRR7463862	1487V121411_FLU	female	IGTB1487
SAMN10104349	SRR7463863	1488V121411_FLU	female	IGTB1488
SAMN10104446	SRR7463864	1489V101211_FLU	male	IGTB1489
SAMN10104348	SRR7463865	1502V120811_FLU	female	IGTB1502
SAMN10104336	SRR7463866	1505V121511_FLU	female	IGTB1505
SAMN10104037	SRR7463867	1523V113011_FLU	female	IGTB1523
SAMN10104312	SRR7463868	1531V111611_FLU	female	IGTB1531
SAMN10104221	SRR7463869	1532V112911_FLU	female	IGTB1532
SAMN10104179	SRR7463870	1538V110211_FLU	male	IGTB1538
SAMN10104157	SRR7463871	1547V110111_FLU	male	IGTB1547
SAMN10104482	SRR7463872	1553V011212_FLU	female	IGTB1553
SAMN10104323	SRR7463873	1556V112311_FLU	female	IGTB1556
SAMN10104260	SRR7463874	1559V111511_FLU	male	IGTB1559
SAMN10103974	SRR7463875	1565V022812_FLU	male	IGTB1565
SAMN10104488	SRR7463876	1566V112311_FLU	female	IGTB1566
SAMN10104350	SRR7463877	1570V112211_FLU	male	IGTB1570
SAMN10103972	SRR7463878	1572V112311_FLU	male	IGTB1572
SAMN10103994	SRR7463879	1574V112911_FLU	male	IGTB1574
SAMN10104212	SRR7463880	1575V120711_FLU	female	IGTB1575
SAMN10104231	SRR7463881	1577V111711_FLU	male	IGTB1577
SAMN10104069	SRR7463882	1586V112211_FLU	male	IGTB1586
SAMN10104195	SRR7463883	1587V011712_FLU	female	IGTB1587
SAMN10104004	SRR7463884	1589V020812_FLU	female	IGTB1589
SAMN10104460	SRR7463885	1592V113011_FLU	female	IGTB1592
SAMN10104089	SRR7463886	1597V120611_FLU	female	IGTB1597
SAMN10104229	SRR7463887	1601V112211_FLU	female	IGTB1601
SAMN10104057	SRR7463888	1603V120711_FLU	male	IGTB1603
SAMN10104181	SRR7463889	1605V021412_FLU	male	IGTB1605
SAMN10104343	SRR7463890	1607V120811_FLU	male	IGTB1607
SAMN10103964	SRR7463891	1639V011812_FLU	male	IGTB1639
SAMN10104289	SRR7463892	1650V011012_FLU	female	IGTB1650
SAMN10104034	SRR7463893	1652V011912_FLU	male	IGTB1652
SAMN10104059	SRR7463894	1654V022112_FLU	female	IGTB1654
SAMN10104113	SRR7463895	1660V012412_FLU	female	IGTB1660
SAMN10104061	SRR7463896	1671V011712_FLU	male	IGTB1671
SAMN10103977	SRR7463897	1674V011812_FLU	female	IGTB1674
SAMN10103966	SRR7463898	1679V020912_FLU	female	IGTB1679
SAMN10103935	SRR7463899	1683V020712_FLU	female	IGTB1683
SAMN10104137	SRR7463900	1684V021612_FLU	female	IGTB1684
SAMN10104002	SRR7463901	1686V022212_FLU	male	IGTB1686
SAMN10104427	SRR7463902	1698V022812_FLU	male	IGTB1698
