 FID                 IID       PEDSEX       SNPSEX       STATUS            F
 125   5434289071_R06C01            1            1           OK       0.9391
 126   5434289104_R02C02            2            2           OK      0.03608
 127   5434289099_R01C02            1            1           OK       0.9447
 128   8327817131_R02C01            2            2           OK   -0.0003964
 129   5434289074_R01C01            2            2           OK     -0.01203
 130   8327817147_R02C02            0            1      PROBLEM       0.8717
 131   8327817131_R06C02            2            2           OK      0.03881
 132   5443804068_R03C02            2            2           OK      0.02611
 133   5434289099_R05C01            1            1           OK       0.9425
 134   8327817147_R06C01            1            1           OK       0.9136
 135   8543229215_R03C01            1            1           OK       0.9429
 136   5434289074_R05C02            1            1           OK       0.9392
 137   5434289071_R02C02            2            2           OK      -0.0154
 138   8324843039_R02C01            1            1           OK       0.9315
 139   5443804116_R03C01            2            2           OK     -0.09222
 140   5434289104_R06C01            2            2           OK     0.004527
 141   8543229215_R02C02            1            1           OK       0.9219
 142   5434289074_R04C01            1            1           OK       0.9439
 143   5434289099_R04C02            2            2           OK      0.06938
 144   5443804068_R02C01            2            2           OK     -0.03066
 145   5443804116_R02C02            2            2           OK     -0.05953
 146   8324843039_R03C02            2            2           OK      0.05321
 147   5434289071_R03C01            1            1           OK       0.9396
 148   5443804115_R02C01            1            1           OK       0.9459
 149   8327817122_R01C02            1            1           OK       0.9236
 150   8546260098_R02C02            2            2           OK     -0.02216
 151   8543229075_R04C01            1            1           OK         0.93
 152   5443804058_R01C02            2            2           OK     -0.07508
 153   5434289105_R04C02            1            1           OK       0.9444
 154   5434289058_R01C01            1            1           OK       0.9454
 155   5434289051_R06C02            1            1           OK       0.9377
 156   5434289081_R06C01            1            1           OK         0.94
 157   8543229003_R04C02            2            2           OK     -0.01963
 158   8543229098_R04C02            2            2           OK     -0.06292
 159   5434289093_R03C02            2            2           OK     0.009691
 160   5434289001_R04C01            2            2           OK      0.04824
 161   8546260098_R03C01            2            2           OK    -0.000733
 162   5434289003_R06C01            1            1           OK       0.9492
 163   8327817141_R01C02            2            2           OK     0.004343
 164   8324843130_R01C01            2            2           OK    -0.004459
 165   5434289075_R06C02            0            2      PROBLEM     -0.01203
 166   5443804115_R03C02            2            2           OK      0.02896
 167   5434289041_R01C01            2            2           OK    -0.004397
 168   8543229098_R05C01            2            2           OK     -0.02661
 169   8543229003_R05C01            1            1           OK       0.9288
 170   5434289001_R05C02            1            1           OK       0.9393
 171   5434289093_R02C01            1            1           OK       0.9419
 172   8324843038_R01C01            1            1           OK       0.9283
 173   5434289105_R05C01            1            1           OK       0.9466
 174   8543229075_R05C02            2            2           OK      0.01971
 175   5443804115_R05C01            2            2           OK      0.01548
 176   8327817122_R06C02            2            2           OK      0.01334
 177   8546260098_R05C02            2            2           OK      -0.0406
 178   5434289051_R01C02            1            1           OK       0.9423
 179   5434289058_R06C01            2            2           OK    -0.005092
 180   5443804058_R06C02            2            2           OK     -0.01379
 181   5434289105_R03C02            1            1           OK       0.9412
 182   8543229075_R03C01            2            2           OK   -0.0003706
 183   5434289001_R03C01            1            1           OK       0.9402
 184   5434289093_R04C02            2            2           OK      0.02062
 185   8543229098_R03C02            1            1           OK       0.9257
 186   5434289081_R01C01            0            2      PROBLEM      0.08128
 187   8543229003_R03C02            2            2           OK     -0.05106
 188   8327817141_R06C02            1            1           OK       0.9333
 189   8324843130_R06C01            1            1           OK       0.9331
 190   8546260098_R04C01            1            1           OK       0.9452
 191   5434289003_R01C01            2            2           OK     -0.05322
 192   5434289041_R06C01            2            2           OK      0.04689
 193   5443804115_R04C02            1            1           OK         0.94
 194   5434289075_R01C02            2            2           OK      0.02869
 195   5434289093_R05C01            1            1           OK       0.9362
 196   5434289001_R02C02            1            1           OK       0.9424
