INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
5434289099_R05C01	730382	0	1264	0.0017306
8327817147_R06C01	730382	0	11232	0.0153783
8543229215_R03C01	730382	0	6586	0.0090172
5434289074_R05C02	730382	0	794	0.0010871
5434289071_R02C02	730382	0	3512	0.00480844
8324843039_R02C01	730382	0	7845	0.010741
5443804116_R03C01	730382	0	4833	0.00661709
5434289104_R06C01	730382	0	2925	0.00400475
8543229215_R02C02	730382	0	6658	0.00911578
5434289074_R04C01	730382	0	1561	0.00213724
5434289099_R04C02	730382	0	12905	0.0176688
5443804068_R02C01	730382	0	4759	0.00651577
5443804116_R02C02	730382	0	18887	0.0258591
8324843039_R03C02	730382	0	7723	0.0105739
5434289071_R03C01	730382	0	2066	0.00282866
5443804115_R02C01	730382	0	2575	0.00352555
8327817122_R01C02	730382	0	10394	0.0142309
8546260098_R02C02	730382	0	3146	0.00430734
8543229075_R04C01	730382	0	8982	0.0122977
5443804058_R01C02	730382	0	3285	0.00449765
5434289105_R04C02	730382	0	2003	0.0027424
5434289058_R01C01	730382	0	2053	0.00281086
5434289051_R06C02	730382	0	2186	0.00299295
5434289081_R06C01	730382	0	2748	0.00376241
8543229003_R04C02	730382	0	8833	0.0120937
8543229098_R04C02	730382	0	14845	0.020325
5434289093_R03C02	730382	0	2814	0.00385278
5434289001_R04C01	730382	0	5121	0.0070114
8546260098_R03C01	730382	0	3104	0.00424983
5434289003_R06C01	730382	0	4250	0.00581887
8327817141_R01C02	730382	0	10676	0.014617
8324843130_R01C01	730382	0	12004	0.0164352
5434289075_R06C02	730382	0	22091	0.0302458
5443804115_R03C02	730382	0	3968	0.00543277
5434289041_R01C01	730382	0	3671	0.00502614
8543229098_R05C01	730382	0	10488	0.0143596
8543229003_R05C01	730382	0	7449	0.0101988
5434289001_R05C02	730382	0	2370	0.00324488
5434289093_R02C01	730382	0	3052	0.00417864
8324843038_R01C01	730382	0	10035	0.0137394
5434289105_R05C01	730382	0	1822	0.00249459
8543229075_R05C02	730382	0	13370	0.0183055
5443804115_R05C01	730382	0	2405	0.0032928
8327817122_R06C02	730382	0	23167	0.031719
8546260098_R05C02	730382	0	2850	0.00390207
5434289051_R01C02	730382	0	1060	0.0014513
5434289058_R06C01	730382	0	3105	0.0042512
5443804058_R06C02	730382	0	2684	0.00367479
5434289105_R03C02	730382	0	1949	0.00266847
8543229075_R03C01	730382	0	13696	0.0187518
5434289001_R03C01	730382	0	2626	0.00359538
5434289093_R04C02	730382	0	2457	0.00336399
8543229098_R03C02	730382	0	11851	0.0162258
5434289081_R01C01	730382	0	109175	0.149477
8543229003_R03C02	730382	0	10427	0.0142761
8327817141_R06C02	730382	0	5004	0.00685121
8324843130_R06C01	730382	0	7995	0.0109463
8546260098_R04C01	730382	0	1490	0.00204003
5434289003_R01C01	730382	0	6458	0.00884195
5434289041_R06C01	730382	0	4625	0.0063323
5443804115_R04C02	730382	0	2740	0.00375146
5434289075_R01C02	730382	0	2119	0.00290122
5434289093_R05C01	730382	0	929	0.00127194
5434289001_R02C02	730382	0	2100	0.00287521
8324843038_R06C01	730382	0	14512	0.0198691
8543229003_R02C01	730382	0	9725	0.013315
8543229098_R02C01	730382	0	8863	0.0121347
8543229075_R02C02	730382	0	9553	0.0130795
5434289105_R02C01	730382	0	3541	0.00484815
5443804068_R04C02	730382	0	2544	0.00348311
5434289099_R02C01	730382	0	1507	0.0020633
8327817131_R01C02	730382	0	15565	0.0213108
5434289074_R02C02	730382	0	3551	0.00486184
8327817147_R01C01	730382	0	17076	0.0233795
8543229215_R04C01	730382	0	8873	0.0121484
5434289071_R05C02	730382	0	2004	0.00274377
8324843039_R05C01	730382	0	13855	0.0189695
5443804116_R04C01	730382	0	4778	0.00654178
5434289104_R01C01	730382	0	2238	0.00306415
5434289074_R03C01	730382	0	3312	0.00453461
8543229215_R05C02	730382	0	10615	0.0145335
5434289099_R03C02	730382	0	17979	0.0246159
5443804068_R05C01	730382	0	3093	0.00423477
5443804116_R05C02	730382	0	6674	0.00913768
8324843039_R04C02	730382	0	13616	0.0186423
5434289071_R04C01	730382	0	1809	0.00247679
5443804116_R01C01	730382	0	10399	0.0142378
